epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.80683,0,48.3563,0,0,0,0,0,0,82.9387,0,0,0,0
2,14.873,0,48.4513,0,0,0,0,0,0,82.9474,0,1.05601e-05,1.05601e-05,1.05601e-05
3,20.3188,0,48.3479,0,0,0,0,0,0,82.9539,0,2.00202e-05,2.00202e-05,2.00202e-05
4,25.2884,0,48.2956,0,0,0,0,0,0,82.9618,0,2.83805e-05,2.83805e-05,2.83805e-05
5,30.328,0,48.1156,0,0,0,0,0,0,82.9696,0,3.56409e-05,3.56409e-05,3.56409e-05
6,35.5555,0,47.9753,0,0,0,0,0,0,82.9781,0,4.18014e-05,4.18014e-05,4.18014e-05
7,40.5876,0,47.8013,0,0,0,0,0,0,82.9845,0,4.6862e-05,4.6862e-05,4.6862e-05
8,45.5334,0,47.6761,0,0,0,0,0,0,82.9864,0,5.08227e-05,5.08227e-05,5.08227e-05
9,51.0753,0,47.5371,0,0,0,0,0,0,82.9866,0,5.36835e-05,5.36835e-05,5.36835e-05
10,56.325,0,47.3527,0,0,0,0,0,0,82.983,0,5.54445e-05,5.54445e-05,5.54445e-05
11,61.8292,0,47.244,0,0,0,0,0,0,82.9753,0,5.61055e-05,5.61055e-05,5.61055e-05
12,67.452,0,47.1366,0,0,0,0,0,0,82.9638,0,5.56667e-05,5.56667e-05,5.56667e-05
13,72.6747,0,46.9876,0,0,0,0,0,0,82.955,0,5.41279e-05,5.41279e-05,5.41279e-05
14,77.5697,0,46.9287,0,0,0,0,0,0,82.9482,0,5.14893e-05,5.14893e-05,5.14893e-05
15,82.6766,0,46.7648,0,0,0,0,0,0,82.9452,0,4.77508e-05,4.77508e-05,4.77508e-05
16,88.1284,0,46.6251,0,0,0,0,0,0,82.9417,0,4.29124e-05,4.29124e-05,4.29124e-05
17,93.1794,0,46.5474,0,0,0,0,0,0,82.9434,0,3.69741e-05,3.69741e-05,3.69741e-05
18,98.4722,0,46.4158,0,0,0,0,0,0,82.9434,0,2.99359e-05,2.99359e-05,2.99359e-05
19,103.549,0,46.3851,0,0,0,0,0,0,82.9773,0,2.17978e-05,2.17978e-05,2.17978e-05
20,108.39,0,46.404,0,0,0,0,0,0,82.9773,0,1.25599e-05,1.25599e-05,1.25599e-05
